component,local_path,url,hash,participant_id,file_type,size
N400,erpcore/N400/sub-040/eeg/sub-040_task-N400_eeg.set,https://files.de-1.osf.io/v1/resources/29xpq/providers/osfstorage//6007895bba0109089b891e65,md5:897dfda33d1ab4debbadb9e80bdcd574,sub-040,raw_files,4183424
N400,erpcore/N400/sub-040/eeg/sub-040_task-N400_events.tsv,https://files.de-1.osf.io/v1/resources/29xpq/providers/osfstorage//6007895eba010908a289335e,md5:70aa688b0d8a1a5230c92c10b33e483a,sub-040,log_files,13380
N400,erpcore/N400/sub-040/eeg/sub-040_task-N400_electrodes.tsv,https://files.de-1.osf.io/v1/resources/29xpq/providers/osfstorage//610212270c4cba026abccfd6,md5:2d5e9897239df6feea87762c209ce9cf,sub-040,,924
N400,erpcore/N400/sub-040/eeg/sub-040_task-N400_coordsystem.json,https://files.de-1.osf.io/v1/resources/29xpq/providers/osfstorage//6102122c317620027d38831b,md5:773aca922ea9a7c0e1259d63590a67e8,sub-040,,55
P3,erpcore/P3/README.txt,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//612e8f6d4e5ee500c9293693,md5:2bddaeb5be97abc65ddbdadfeb8a9d57,,,2612
P3,erpcore/P3/task-P3_events.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077f07e80d3708e6a57d56,md5:dcb85667b2f51582aa303b315eb6e0b3,,,1591
P3,erpcore/P3/participants.tsv,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077bfae80d3708eca58f45,md5:75926d326e330bc7f3cf821ee8794f4c,,,792
P3,erpcore/P3/participants.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077bf7e80d3708eaa587ee,md5:7f63cea3a9fd7b8a8d78ecd85324d0f2,,,282
P3,erpcore/P3/dataset_description.json,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077bf3ba010908a2891ce1,md5:c832d4f02949b9305a42a6cbf3dd9450,,,691
P3,erpcore/P3/LICENSE,https://files.de-1.osf.io/v1/resources/etdkz/providers/osfstorage//60077becba010908a489240b,md5:625a180c9a771079b1ff9be74235e775,,,705
