local_path,url,hash,participant_id,file_type,size
cali/14_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d46b83f6902b3a66534,md5:25f4372b3f2e509a7399476c61221957,14,besa_files,47407
log/14_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1bd66c613b02968f5c32,md5:5d6d89761ed2813c2ec711d2b15572bf,14,log_files,506905
raw/16.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf48f4b83f6902b2a64496,md5:e6210bde8fec7144d749d36771edfb5e,16,,239178240
raw/16.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e06c613b02968f6d1a,md5:0f606cb8ff12782a90e288653ac7d075,16,raw_files,11774
raw/16.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56f89ad5a102cd5c6b29,md5:eba124228ae4df5f42e583bd78233f4e,16,,389448
cali/16_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d466c613b02978f4426,md5:91d4a0ed5b6c499c8c15de7e53a344ac,16,besa_files,48124
log/16_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1bd76c613b02958f37ca,md5:54d82ddf16f7eafb2abb3572241c28ae,16,log_files,503068
raw/17.eeg,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf4894b83f6902b3a67498,md5:467b7c036db7fcd7e1e1c43882fab468,17,,249309440
raw/17.vhdr,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56e0b83f6902b0a62ce5,md5:0954951c5a8aff131c4e1c7b11c51614,17,raw_files,11774
raw/17.vmrk,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf56f66c613b02948f4267,md5:a7406ae7a8335bcd7bc965eb383e2da5,17,,390163
cali/17_cali.matrix,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1d46594d9002c37fa093,md5:61bf3ec4d3eb6a7174545f2a9f222e14,17,besa_files,47801
log/17_test.txt,https://files.de-1.osf.io/v1/resources/hdxvb/providers/osfstorage/59cf1be9b83f6902b2a63a67,md5:4a0180dfa417d63afd573fd6d65355a8,17,log_files,506906
